response,label,urdu,punjabi,sindhi
"Based on your soil and climate data, pigeonpeas would likely be a suitable crop for your farmland.",pigeonpeas,آپ کی مٹی اور آب و ہوا کے اعداد و شمار کی بنیاد پر، ارہر (پجّی کاپیز) ممکنہ طور پر آپ کی زمین کے لیے ایک موزوں فصل ہوگی۔,"Tuhade mitti te mausam de data de aadhar te, tuhadi zamin layi arhar di dal ik theek fasal hovegi.",توھانجي مٽي ۽ آبهوا جي معلومات جي بنياد تي، ڪنگري دلها (پجيونپيس) اوھانجي زمين لاءِ ممڪن طور تي ھڪ موزون فصل ٿي سگھي ٿو۔
"Given the conditions on your farmland and past experiences, grapes would be a suitable crop to grow. The conditions in your farmland closely match those where grapes have previously thrived.",grapes,آپ کی زرعی زمین کی حالت اور ماضی کے تجربات کے پیش نظر، انگور ایک مناسب فصل ہے۔ آپ کی زرعی زمین کی حالت ان مقامات سے بہت مماثلت رکھتی ہے جہاں پہلے بھی انگور کامیابی سے اگ چکے ہیں۔,"Given the conditions on your farmland and past experiences, grapes would be a suitable crop to grow. The conditions in your farmland closely match those where grapes have previously thrived.

Tuhade khet di halaat ate pichhle tajurbe de mutaabiq, angoor ugāunā chakachak fasal hovega. Tuhade khet di halaat unha jagaah de nazdik aa rahi aa jithe pehlaan angoor changi tarah phale phule sandiha.",تنهنجي زمينن تي حالتن ۽ گذريل تجربن کي نظر ۾ رکندي، انگور هڪ موزون پوک آهي. تنهنجي زمينن جون حالتون انهن حالتن سان بلڪل مشابهت رکن ٿيون جتي انگور اڳ ۾ ئي سٺو وڌا آهن.
"Based on the provided conditions, mango appears to be a suitable crop for your farmland. The conditions closely match previous successful mango growing conditions.",mango,دی گئی شرائط کے مطابق، آم آپ کی زرعی زمین کے لئے ایک موزوں فصل نظر آتی ہے۔ یہ شرائط پچھلی کامیاب آم کی کاشت کی شرائط کے ساتھ قریب ہیں۔,"Di ditiyan gayan shardan de adhar te, mango tuhade khet laayi changa fasal lagda hai. Shardan pichle safal mango ugane layi milan jullan di lagdiyaan ne.",مھيا ڪيل حالتن جي بنياد تي، توھانجي زمين لاءِ انب ھڪ مناسب فصل لڳي ٿو. حالتون اڳ ۾ ڪامياب انب پوکڻ جي حالتن سان ويجهو ملن ٿيون.
"You should consider growing pigeonpeas on your farmland, as the conditions seem suitable based on your past experience.",pigeonpeas,آپ کو اپنے زرعی زمین پر کنگنی کے پودے اُگانے پر غور کرنا چاہئے، کیونکہ ماضی کے تجربے کی بنیاد پر حالات موزوں لگ رہے ہیں۔,"Tusi apni kheti 'ch arhar di daal ugown bare soch sakde ho, kyunki tuhadi pichhli tajurbe de adhar te lagda hai ke haalaat theek ne.",توهان کي پنهنجي زمين تي تورين جي فصل پوکيءَ تي غور ڪرڻ گهرجي، ڇو ته توهان جي ماضي جي تجربن جي بنياد تي حالتون مناسب لڳجن ٿيون۔
It would be ideal to grow a crop that can thrive in moderate nitrogen levels. Mungbean might not be the best option given the low nitrogen level in your current soil. Consider crops that are less nitrogen-dependent.,mungbean,یہ بہترین ہوگا کہ ایسی فصل اُگائی جائے جو درمیانے نائٹروجن کی سطح پر بہتر نشوونما کرے۔ موجودہ مٹی میں کم نائٹروجن کی سطح کی وجہ سے مونگ کی فصل بہترین انتخاب نہیں ہوسکتی۔ ایسی فصلوں پر غور کریں جو نائٹروجن پر کم انحصار کرتی ہوں۔,Eh vadhiya hovega jeh ton ik fasal ugayi jo moderate nitrogen level vich changi tarah phul sakdi hai. Mungbean shaayad best option na hove kyonki tusi apni mitti vich nitrogen di matra kat hai. Ohaa fasla te gowroh jo kat nitrogen di zarurat rakhdiyan han.,اهو مناسب ٿيندو جيڪڏهن اوهين اهڙي فصل کي پوکيو جيڪو وچولي نائٽرورجن سطح تي خوب وڌي سگهي. موجوده مٽي ۾ گهٽ نائٽرورجن سطح کي نظر ۾ رکندي، مونگ بين بهترين چونڊ شايد نه هجي. اهڙا فصلن تي غور ڪريو جيڪي گهٽ نائٽرورجن تي ڀاڙين ٿا.
"Based on the data, lentil is a good option to grow on your farmland. The conditions are generally close to the successful conditions for lentil growth you provided.",lentil,معلومات کی بنیاد پر، مسور کی دال آپ کی زمین پر اگانے کے لیے ایک اچھا انتخاب ہے۔ جو حالات آپ نے مسور کی دال اُگانے کے لیے دیئے ہیں، وہ عموماً کامیاب حالات کے قریب تر ہیں۔,"Data de adhaar te, masarh vehra tohaday khetan wich ugghon layi ik changa vikalp hai. Jo haalat tussi dasiyan ne, ohna de ikathiyan tohaday khetan wich masarh ugghon layi theek ne.",ڊيٽا جي بنياد تي، لينٽيل توهان جي زراعت جي زمين تي پوکڻ لاءِ هڪ سٺي چونڊ آهي. عام طور تي حالتون انهن ڪامياب حالتن جي ويجهو آهن جيڪي اوهان لينٽيل جي واڌ لاءِ فراهم ڪيون آهن.
"Based on the provided data and past experience, it would be suitable to grow watermelon on your farmland. The conditions closely match previous successful growth conditions for watermelon.",watermelon,"فراہم کردہ ڈیٹا اور گذشتہ تجربے کی بنیاد پر، آپ کی زمین پر تربوز اگانا مناسب ہوگا۔ یہ حالات پچھلے کامیاب تربوز کی نشوونما کے حالات سے بہت مطابقت رکھتے ہیں۔
",Ditte hoye data te pehle de tajurbe de adhar te eh thik hoyega ke tussi apni khet-baari te tarbooz ugavo. Eh halaat pehlan vi successful growth conditions naal mel karde ne.,مھيا ڪيل ڊيٽا ۽ گذريل تجربي جي بنياد تي، پنھنجي زمينن تي تربوز پوکڻ لاءِ مناسب ھوندو. حالتون تربوز جي ڪامياب پوک لاءِ پھريان جيان ملن ٿيون.
The nitrogen level in your soil is too low for lentils. You should either improve the soil fertility or consider a different crop that thrives in low nitrogen conditions.,lentil,آپ کی مٹی میں نائٹروجن کی سطح دالوں کے لئے بہت کم ہے۔ آپ کو یا تو مٹی کی زرخیزی کو بہتر بنانا چاہئے یا کسی دوسرے فصل پر غور کرنا چاہئے جو کم نائٹروجن کی حالتوں میں بہتر نشوونما پاتی ہو۔,Tuhade mitti vich nitrogen di saṛ de adhi uchit paḍar nāhi hai. Tusi mitti di zarkhezi nu veiwadhan yaan tae adhi nitrogen paḍar sahin vale kisai hor paṇḍi di kheti bare soch sakde ho.,توهان جي مٽي ۾ نائٽروجن جي سطح مٽرن لاءِ تمام گهٽ آهي. توهان کي مٽي جي ذرخيزيت کي بهتر ڪرڻ گهرجي يا ڪنهن ٻئي فصل تي غور ڪرڻ گهرجي جيڪا گهٽ نائيٽروجن جي حالتن ۾ سٺو وڌي.
"Based on the given conditions of your farmland, you could consider growing lentils. The temperature and humidity levels are close to previous successful conditions for lentils.",lentil,آپ کی زرعی زمین کی دی گئی حالات کی بنیاد پر، آپ دال اُگا سکتے ہیں۔ درجہ حرارت اور نمی کی سطحیں دال کے پچھلے کامیاب حالات کے قریب ہیں۔,"Farmland de ditte hoye conditions de bases te, tusi masar ugande baare soch sakde ho. Temperature te humidity de level masar vaaste pehlaan di successful conditions de karib ne.",توهان جي زمين جي ڏنل حالتن جي بنياد تي، توهان مڱن پوکڻ تي غور ڪري سگهو ٿا. گرمي ۽ نمي جي سطحون مڱن لاءِ اڳئين ڪامياب حالتن جي ويجهو آهن.
"Based on your soil and environmental conditions, rice might not be the best choice since the pH is too low and nitrogen levels are not optimal. You should consider growing a crop that thrives in more acidic soil and can tolerate the current nutrient levels, such as potatoes or blueberries.",rice,آپ کی مٹی اور ماحولیاتی حالات کی بنیاد پر، چاول بہترین انتخاب نہیں ہو سکتا کیونکہ pH بہت کم ہے اور نائٹروجن کی سطح بھی موزوں نہیں ہے۔ آپ کو ایسی فصلیں اگانے پر غور کرنا چاہیے جو زیادہ تیزابی مٹی میں پنپ سکیں اور موجودہ غذائی اجزا کی سطح کو برداشت کر سکیں، جیسے کہ آلو یا بلیو بیریز۔,"Tuhade mitti ate vatavaran de halat de adhar te, chawal uchha pasand nahi ho sakda kyonki mitti da pH navi hai ate nitrogen di matra uchit nahi hai. Tuhanu oh pasa ukha paida karna chahida hai jo jyada teekhe mitti vich vadhdi hai ate maujooda poshak tatva di matra bardasht kar sakdi hai, jivein aloo ya neela berry.",توهانجي زمين ۽ ماحولي حالتن جي بنياد تي، چانور شايد بهترين چونڊ نه هجي ڇو ته پي ايڇ تمام گهٽ آهي ۽ نائٽروجن جي سطحون به بهترين نه آهن. توهان کي اهڙي فصل سينگارڻ تي غور ڪرڻ گهرجي جيڪا وڌيڪ تيزاب واري مٽي ۾ وڌي سگھي ٿي ۽ موجوده غذائي سطحون برداشت ڪري سگھي، جهڙوڪ آلو يا نيلو بيري.
"Based on your farmland's conditions, blackgram would be a suitable crop to grow.",blackgram,آپ کی زرعی زمین کی حالات کی بنیاد پر ماش کی دال ایک موزوں فصل ہو سکتی ہے۔,"Tohaadi khet di halaat nu dekhde hoye, urad di daal (blackgram) ugaunde layi changi fasal ban sakdi hai.",توهان جي زمين جي حالتن جي بنياد تي، ڪاري من (ماش) پوکڻ لاءِ مناسب فصل ٿيندو.
"You should consider growing bananas, as the current conditions on your farmland are similar to the conditions in which banana has been successfully grown in the past.",banana,آپ کو کیلے اگانے پر غور کرنا چاہیے کیونکہ آپ کی زرعی زمین کی موجودہ حالتیں ان حالات سے ملتی جلتی ہیں جن میں ماضی میں کامیابی سے کیلا اگایا گیا ہے۔,"Tuhanu kela ugane bare sochna chahida hai, kyunki tuhade khet diyan vartman halaat ohna halaatan wang hi ne jinhan vich kela wichle samay 'ch safal tareeke naal uguya gaya hai.",توهان کي ڪنڌي تي bananas پوکڻ تي غور ڪرڻ گهرجي، ڇاڪاڻ ته توهان جي فارم لينڊ تي موجوده حالتون انهن حالتن سان مشابهت رکن ٿيون جن ۾ اڳ ۾ بنانا ڪاميابيءَ سان پوکيو ويو آهي.
"Based on the given conditions, you should grow banana on your farmland. The soil and environmental conditions match well with successful past banana growth data.",banana,دی گئی شرائط کی بنیاد پر، آپ کو اپنے کھیت میں کیلا اگانا چاہیے۔ مٹی اور ماحولیاتی حالات ماضی میں کامیاب کیلا کی کاشت کے ڈیٹا سے اچھی طرح میل کھاتے ہیں۔,"Ditte hoye halat vastay, tuhanu apni zameen te kela ugana chahida hai. Mitti te mawasi halat pichle kamyab kela uggan de data naal vadhiya milde ne.","ڏنل حالتن جي بنياد تي، توهان کي پنهنجي پوکڻ واري زمين تي ڪيلو پوکڻ گهرجي. مٽي ۽ ماحولياتي حالتون ماضي جي ڪامياب ڪيلو پوکڻ جي ڊيٽا سان چڱيءَ طرح ميچ ڪن ٿيون.
"
"Based on the current soil and weather conditions, maize would be a suitable crop to grow on your farmland. Your data matches well with past conditions where maize was successfully grown.",maize,موجودہ مٹی اور موسم کے حالات کی بنیاد پر، مکئی آپ کی زرعی اراضی پر اگانے کے لئے ایک موزوں فصل ہوگی۔ آپ کے اعداد و شمار ان پچھلے حالات سے اچھی طرح ملتے ہیں جہاں مکئی کامیابی کے ساتھ اگائی گئی تھی۔,"Current soil te weather conditions de base te, maize tuhade farmland te ugande layi ek suitable crop hovegi. Tuhada data past conditions naal changa mail khanda hai jithe maize successfully ugaya gaya si.",موجوده مٽي ۽ موسم جي حالت کي نظر ۾ رکندي، توهان جي زمين تي ڪنڪ (مکئ) پوکڻ لاءِ بهترين فصل آهي. توهان جي ڊيٽا ماضي جي حالتن سان خوب ملاپ کائي ٿي جتي ڪنڪ (مکئ) ڪاميابي سان پوکيو ويو هو۔
"You should consider growing grapes, as they have been successfully grown in similar conditions to those on your farmland.",grapes,آپ کو انگور اگانے پر غور کرنا چاہیے کیونکہ انہیں آپ کی زمین کے مشابہ حالات میں کامیابی سے اگایا گیا ہے۔,"Tusi angoor ugaune bare soch sakde ho, kyunki ohna nu tuhade khet waliyan mushkila ch safal tareeke naal ugaaya gaya hai.",توهان کي انگور پوکڻ تي غور ڪرڻ گهرجي، ڇو ته اهي توهان جي زرعي زمين وانگر حالتن ۾ ڪاميابي سان پوکيا ويا آهن۔
"You should adjust the nitrogen levels before planting pigeonpeas because your field's nitrogen level is currently too low. Once balanced, pigeonpeas can do well in your farmland based on the other conditions.",pigeonpeas,آپ کو کبلی چنے بونے سے پہلے نائٹروجن کی مقدار کو ایڈجسٹ کرنا چاہیے کیونکہ آپ کے کھیت میں اس وقت نائٹروجن کی مقدار بہت کم ہے۔ ایک بار جب توازن ہو جائے تو، دیگر حالات کی بنیاد پر کبلی چنے آپ کی زمین میں اچھی طرح اگ سکتے ہیں۔,"Tussi nitrogen de leveled nu adjust karna chahida hai pigeonpeas lagan ton pehlan kyunki tuhade khet di nitrogen di leveled is samay boht kaat hai. Ik waari leveled balance ho jaaye, pigeonpeas tuhade khet vich hor halatan de base te changa udhaan gha.",توهان کي ڪڻڪ جا ٻج پوکڻ کان اڳ نائٽروجن جي سطح کي ترتيب ڏيڻ گهرجي ڇو ته توهان جي ميدان ۾ نائٽروجن جي موجوده سطح تمام گهٽ آهي. هڪ ڀيرو متوازن، ڪڻڪ جا ٻج ٻين حالتن جي بنياد تي توهان جي زمين ۾ سٺو ڪري سگهن ٿا.
"Based on your farmland data and past experience, mango might not be the best option because the pH is too low and nutrients are slightly off. Consider adjusting soil conditions or consult an agronomist for suitable crop options.",mango,آپ کے زرعی زمین کے ڈیٹا اور گزشتہ تجربے کی بنیاد پر، آم بہترین انتخاب نہیں ہوسکتا کیونکہ مٹی کا پی ایچ لیول بہت کم ہے اور غذائی اجزاء میں بھی کچھ کمی ہے۔ مٹی کی حالت کو بہتر بنانے پر غور کریں یا مناسب فصلوں کے آپشنز کیلئے کسی زرعی ماہر سے مشورہ کریں۔,"Tuhadi farmland de data ate pichle tajurbe de adhar te, aam ho sakda hai best option na hove kyonki maar di pH bohot ghatti hai ate khad rasthe utte nahi hai. Mitti di condition theek karan de baare socho ya ek agronomist naal mashwara karo taan ke theek fasl di chunavi kar sako.",توهان جي فارم جي ڊيٽا ۽ گذريل تجربي جي بنياد تي، آم شايد بهترين چونڊ نه هجي ڇاڪاڻ ته پي ايڇ تمام گھٽ آهي ۽ غذائي جزا ٿوريون غير متوازن آهن. مٽي جي حالتن کي ترتيب ڏيڻ تي غور ڪريو يا مناسب پوکائي جي آپشنز لاءِ زرعي ماهر سان صلاح ڪريو.
"Based on the given data and similar past conditions, maize seems to be a suitable crop for your farmland.",maize,دئے گئے ڈیٹا اور ماضی کی مشابہ حالات کی بنیاد پر، لگتا ہے کہ مکئی آپ کی زرعی زمین کے لئے ایک موزوں فصل ہو سکتی ہے۔,"Ditte hoye data ate pichlay milde julde halat de adhar te, makkai tuhadi khetibari layi ek theek fasal lagdi hai.",مليل ڊيٽا ۽ ماضي جي مشابه حالتن جي بنياد تي، توهانجي فارملينڊ لاءِ مکي مناسب فصل لڳي ٿو۔
"Given the nutrient levels, temperature, humidity, pH, and rainfall, blackgram would be a suitable crop for your farmland. The conditions closely resemble past successful conditions for growing blackgram.",blackgram,دئیے گئے غذائی اجزاء کی سطحیں، درجہ حرارت، نمی، پی ایچ، اور بارش کو مد نظر رکھتے ہوئے، آپ کی زمین کے لیے ماش (کالے چنے) کی فصل مناسب ہوگی۔ یہ حالات ماضی کے ان کامیاب حالات سے بہت مشابہت رکھتے ہیں جن میں ماش کی کاشت کامیاب رہی ہے۔,"Ditte hoye nutrient levels, temperature, humidity, pH, te rainfall nu vekhde hoye, blackgram tuhade farmland layi ek theek fasal hovegi. Eh sare conditions tuhade farmland layi blackgram ugaunde vague halatan nu nazik hi lage ne.","Given the nutrient levels, temperature, humidity, pH, and rainfall, blackgram would be a suitable crop for your farmland. The conditions closely resemble past successful conditions for growing blackgram."
"Based on the provided conditions, growing lentil seems suitable for your farmland. The conditions closely resemble past successful lentil growth data.",lentil,فراہم کردہ حالات کی بنیاد پر، لگتا ہے کہ آپ کی زرعی زمین پر دال اُگانا موزوں ہو گا۔ یہ حالات پچھلے کامیاب دال اُگانے کے ڈیٹا سے ملتے جلتے ہیں۔,"Paise gaye ikkum tauran te, tuhadi zameen te masraan di kheti munasib lag rahi hai. Eh-eh haalatan agge diyan kamyaab masraan di kheti di data naal bohot mildi-juldi hai.",مهيا ڪيل حالتن جي بنياد تي، توهان جي زمين تي مسور جي پوک لڳائڻ موزون لڳي ٿي. اهي حالتون ماضي جي ڪامياب مسور جي پوک جي ڊيٽا سان ويجهيون آهن.
"Consider adding lime to the soil to raise the pH and increase the nitrogen levels. After adjustments, maize would be a suitable crop to grow.",maize,مٹی میں چونے کا اضافہ کرنے پر غور کریں تاکہ پی ایچ کی سطح بڑھائی جا سکے اور نائٹروجن کی مقدار میں اضافہ ہو سکے۔ ان تبدیلیوں کے بعد مکئی اگانے کے لئے ایک مناسب فصل ہو گی۔,"Mittī dī pH vaḍhāuṇ ate naitrōjan diyaan̆ saṭahāṁ baḍhāuṇ laī mittī vich cūnā ditta jā sakadā hai. Badlāwāṅ to̓ bāad, makī ugauṇ laī ikk thīk fasal hōvēgī.",مٽي جي pH ۽ نائٽروجن جي سطح وڌائڻ لاءِ چونا شامل ڪرڻ تي غور ڪريو. ترتيب ڏيڻ کانپوءِ، مکئي هڪ مناسب فصل ٿي سگهي ٿي.
Kidney beans would be a good choice for your farmland based on the given conditions.,kidneybeans,دئیے گئے حالات کے مطابق آپ کی زرعی زمین کے لئے لوبیا ایک اچھا انتخاب ہوگا۔,"Ditiyan hoyiyan halatan de madde nazar, kidney beans tuhadi zameen laayi ek vadiya chon hoyegi.",ڏنل حالتن جي بنياد تي، توهان جي زمين لاءِ راڄما سٺا چونڊ آهن.
"Based on the conditions and past experience, watermelon would be a good crop to grow on your farmland.",watermelon,حالات اور ماضی کے تجربے کی بنیاد پر، تربوز آپ کی زمین پر اگانے کے لیے اچھی فصل ہوگی۔,"Maujoodah halatan ate pichhle tajurbe de aadhar te, tarbooz tuhade khetaan vich ugane lai ik changi fasal hougi.",حالتن ۽ گذريل تجربي جي بنياد تي، تربوز توهان جي زمين تي پوکڻ لاء هڪ سٺو فصل هوندو.
"Consider improving the nitrogen levels and lowering the pH before planting chickpeas. Based on your current soil conditions, chickpeas may not thrive without these adjustments.",chickpea,چنے اگانے سے پہلے نائٹروجن کی مقدار بہتر کرنے اور پی ایچ کم کرنے پر غور کریں۔ آپ کی موجودہ مٹی کی حالت کو مد نظر رکھتے ہوئے، چنے ان تبدیلیوں کے بغیر بہتر طور پر نہیں بڑھ سکیں گے۔,"Nitrogen de pozições te sudar karke ate pH nu ghata ke chhole laggaune to pehla soch karo. Tuhade maujooda mitti de halat de adhar te, bina ehna sudhara to, chhollan di per-kash vadiya nahi ho sakdi.",چڻين پوکڻ کان پهريان نائٽروجن جي سطح کي بهتر ڪرڻ ۽ pH کي گهٽائڻ تي غور ڪريو. موجوده مٽي جي حالتن کي نظر ۾ رکندي، بغير انهن تبديلين جي چڻيون شايد صحيح نموني وڌي نه سگهنديون.
"Based on your current soil and weather conditions, watermelon seems suitable for your farmland. The nitrogen, phosphorus, and other recorded conditions are within ranges used successfully in the past for growing watermelon.",watermelon,آپ کے موجودہ مٹی اور موسم کے حالات کی بنیاد پر، تربوز آپ کی زرعی زمین کے لئے موزوں لگ رہا ہے۔ نائٹروجن، فاسفورس اور دیگر ریکارڈ شدہ حالات ان حدود میں ہیں جو ماضی میں تربوز اگانے کے لئے کامیابی سے استعمال کی گئی ہیں۔,"Tuhade maujooda mitti ate mausam di haalat de adhaar te, tarbooz tuhade khetaan lai thik lagda hai. Nitrogen, phosphorus, ate hor darja kite haalat ohde hisaab naal ne jo pehlan viah-huaa tarbooz uggean lai kaam aayi ne.",توهان جي موجوده مٽي ۽ موسم جي حالتن جي بنياد تي، هندواڻ توهان جي زمين لاءِ مناسب لڳي ٿي. نائٽروجن، فاسفورس، ۽ ٻيون درج ٿيل حالتون انهن حدن اندر آهن جيڪي ماضي ۾ هندواڻ جي پوک لاءِ ڪاميابيءَ سان استعمال ڪيون ويون آهن۔
"Based on the given conditions, lentil seems to be a suitable crop for your farmland.",lentil,دی گئی شرائط کی بنیاد پر، دال آپ کی زرعی زمین کے لیے ایک موزوں فصل معلوم ہوتی ہے۔,"Ditte hoye halat de mutabiq, daal lagda hai ke tuhade khet layi ek theek fasal hai.",ڏنل حالتن جي بنياد تي، مرچوري (لينٽل) توهان جي زمين لاءِ هڪ موزون فصل لڳي ٿي.
